,NAME10,churn9714,churn0012,totemp1997,totemp2000,totemp12,totemp14,totemp9714,totemp0012,growjob,growhov,growinc,x_centr,y_centr
214,West Carson,0.348272512,0.349732625,9446,11400,12766,10466,1366,1366,2.01E-06,9.68E-06,4.31E-06,-118.2931268,33.82294067
215,West Covina,0.346194741,0.371488511,13537,14333,19328.5,18390.5,4995.5,4995.5,-2.08E-06,-1.28E-06,3.93E-06,-117.9112821,34.05544154
216,West Hollywood,0.369485273,0.393195206,24991,23893,34140,35243,10247,10247,3.32E-07,1.02E-06,-9.93E-07,-118.371829,34.08826699
217,West Rancho Dominguez,0.356415076,0.367238058,10847,9155,13937,13858,4782,4782,1.73E-07,4.42E-06,6.36E-06,-118.2697288,33.89450814
218,Westlake Village,0.379367328,0.377479642,6202,5593,7809.5,7188,2216.5,2216.5,-1.03E-05,-1.42E-05,1.14E-06,-118.8220457,34.13690112
219,Westminster,0.316114035,0.331985137,11672,11150,13258,14740,2108,2108,3.98E-06,1.96E-07,1.00E-05,-117.9937601,33.75215238
220,Westmont,0.39060933,0.418148913,1929,1709,1829,1816,120,120,NA,NA,NA,-118.3018371,33.94167917
221,Whittier,0.323761179,0.33994242,15462,15800,16418,17437,618,618,3.90E-06,-1.23E-06,-1.87E-06,-118.0187964,33.96782557
222,Wildomar,0.454545029,0.46644095,670,510,7330,7521,6820,6820,NA,NA,NA,-117.2582474,33.61727962
223,Willowbrook,0.34757698,0.36763833,7177,6070,6918,6433,848,848,-3.24E-06,5.91E-06,6.66E-06,-118.254959,33.91643767
224,Winter Gardens,0.29750525,0.330963073,388,260,405,444,145,145,NA,NA,NA,-116.9268986,32.83761219
225,Yorba Linda,0.332644527,0.328506182,5773,6302,6225,7654,-77,-77,2.52E-07,-2.53E-06,1.52E-06,-117.7718831,33.88930698
226,Yucaipa,0.353587233,0.390650526,4202,4177,5937,5653,1760,1760,1.73E-05,1.63E-05,-8.58E-06,-117.0435056,34.03307488
